[Дата\время], Событие, место проведения  

[ВТ 19 ноября], -,-
00:00-07:30, Монтажные работы светового оборудования, Чаша
09:00-11:00, Приезд команды "Авангард" переодевание, Спортблок
11:00-13:00, Тренировка команды "Авангард" , Лёд
11:15-13:15, Приезд команды "Динамо Минск" переодевание, Гостевая раздевалка № 12
12:30-13:30, Экскурсия, Арена плаза атриум 3 5 этажи БК G-Drive айс-бункер
13:00-13:15, Заливка льда , Лёд
14:15-15:15, Экскурсия, Арена плаза атриум 3 5 этажи БК G-Drive айс-бункер
13:15-14:15, Тренировка команды "Динамо Минск", Лёд
14:15-14:30, Заливка льда , Лёд
14:15-15:15, Переодевание выезд команды "Динамо Минск" стирка формы, Гостевая раздевалка № 12
14:30-17:00, Репетиция шоу-программ , Лёд чаша
17:30-19:30, Приезд команд переодевание, Спортблок гостевая раздевалка № 1 2
19:30-22:00, Матч "Авангард" -"Динамо Минск" , Лёд чаша
22:00-22:15, Заливка льда , Лёд
22:00-23:00, Переодевание выезд команд, Спортблок гостевая раздевалка № 1 2
22:00-23:59, Монтажные работы светового оборудования, Чаша

[СР 20 ноября], -,-
00:00-08:00, Монтажные работы светового оборудования, Чаша
10:00-12:00, Репетиция медиаповерхностей, Чаша
11:00-13:00, Приезд команды "Авангард" переодевание, Спортблок
13:00-15:00, Тренировка команды "Авангард" , Лёд
13:00-14:00, Экскурсия, Арена плаза атриум 3 5 этажи БК G-Drive айс-бункер
13:00-15:00, Съемка "Лучший игрок G-Drive", БК G-Drive
15:00-15:15, Заливка льда , Лёд
15:00-16:00, Переодевание выезд команды "Авангард", Спортблок
16:00-23:59, Монтажные работы, Чаша
17:00-18:00, Экскурсия, Арена плаза атриум 3 5 этажи гостевой спортблок БК G-Drive айс-бункер

[ЧТ 21 ноября], -,-
00:00-12:00, Монтажные работы, Чаша
06:10-08:10, Завоз вещей команды "Адмирал" стирка формы, Гостевая раздевалка № 1
17:30, Открытие входных павильонов, -
19:00-21:00, Концертное мероприятие , Лёд чаша
19:30-21:00, Завоз вещей команды "Адмирал" после тренировки в Академии стирка формы, Гостевая раздевалка № 1
21:00-23:59, Демонтажные работы , Лёд чаша

[ПТ 22 ноября], -,-
00:00-07:00, Демонтажные работы , Лёд чаша
07:45-09:45, Приезд команды "Адмирал" переодевание, Гостевая раздевалка № 12
09:00-11:00, Приезд команды "Авангард" переодевание, Спортблок
09:45-10:30, Тренировка команды "Адмирал" , Лёд
10:30-10:45, Заливка льда , Лёд
10:30-11:30, Переодевание выезд команды "Адмирал" стирка формы, Гостевая раздевалка № 12
11:00-13:00, Тренировка команды "Авангард" , Лёд
11:15-13:15, Приезд команды "Адмирал" переодевание, Спортблок
11:30-12:30, Экскурсия, Арена плаза атриум 3 5этажи БК G-Drive айс-бункер
13:00-13:15, Заливка льда , Лёд
13:00-14:00, Переодевание выезд команды "Авангард", Спортблок
13:15-14:00, Тренировка команды "Адмирал" , Лёд
14:00-14:15, Заливка льда , Лёд
14:00-15:00, Переодевание выезд команды "Адмирал" стирка формы, Гостевая раздевалка № 12
14:30-17:00, Репетиция шоу-программ , Лёд чаша
17:30-19:30, Приезд команд переодевание, Спортблок гостевая раздевалка № 1 2
19:30-22:00, Матч "Авангард" - "Адмирал" , Лёд чаша
22:00-22:15, Заливка льда , Лёд
22:00-23:00, Переодевание выезд команд, Спортблок гостевая раздевалка № 1 2
22:00-23:59, Демонтажные работы световой фермы, Чаша

[СБ 23 ноября], -,-
00:00-06:00, Демонтажные работы световой фермы Чаша, -

[ВС 24 ноября], -,-
-, не определено, -
