2026-09-08 00:00 - 23:30 | 13-00 | Омские Ястребы - Толпар
2026-09-09 00:00 - 23:30 | 13-00 | Омские Ястребы - Толпар
2026-09-12 00:00 - 23:30 | 13-00 | Омские Ястребы - Стальные Лисы
2026-09-13 00:00 - 23:30 | 13-00 | Омские Ястребы - Стальные Лисы
2026-09-19 00:00 - 23:30 | 13-00 | Омские Ястребы - Сибирские Снайперы
2026-09-23 00:00 - 23:30 | 13-00 | Снежные Барсы - Омские Ястребы
2026-09-27 00:00 - 23:30 | 13-00 | Омские Ястребы - Кузнецкие Медведи
2026-10-01 00:00 - 23:30 | 13-00 | Авто - Омские Ястребы
2026-10-03 00:00 - 23:30 | 13-00 | Авто - Омские Ястребы
2026-10-05 00:00 - 23:30 | 13-00 | Белые Медведи - Омские Ястребы
2026-10-07 00:00 - 23:30 | 13-00 | Белые Медведи - Омские Ястребы
2026-10-11 00:00 - 23:30 | 13-00 | Сибирские Снайперы - Омские Ястребы
2026-10-15 00:00 - 23:30 | 13-00 | Омские Ястребы - АКМ-Юниор
2026-10-20 00:00 - 23:30 | 13-00 | Омские Ястребы - Ирбис
2026-10-21 00:00 - 23:30 | 13-00 | Омские Ястребы - Ирбис
2026-10-24 00:00 - 23:30 | 13-00 | Омские Ястребы - Чайка
2026-10-25 00:00 - 23:30 | 13-00 | Омские Ястребы - Чайка
2026-10-31 00:00 - 23:30 | 13-00 | Кузнецкие Медведи - Омские Ястребы
2026-11-06 00:00 - 23:30 | 13-00 | МХК Молот - Омские Ястребы
2026-11-13 00:00 - 23:30 | 13-00 | Омские Ястребы - Мамонты Югры
2026-11-18 00:00 - 23:30 | 13-00 | Красноярские Рыси - Омские Ястребы
2026-11-24 00:00 - 23:30 | 13-00 | Омские Ястребы - МХК Спартак
2026-11-26 00:00 - 23:30 | 13-00 | Омские Ястребы - Красная Армия
2026-11-29 00:00 - 23:30 | 13-00 | Омские Ястребы - Реактор
2026-12-02 00:00 - 23:30 | 13-00 | Омские Ястребы - Спутник Ал
2026-12-07 00:00 - 23:30 | 13-00 | Локо-76 - Омские Ястребы
2026-12-08 00:00 - 23:30 | 13-00 | Локо-76 - Омские Ястребы
2026-12-13 00:00 - 23:30 | 13-00 | Сибирские Снайперы - Омские Ястребы
2026-12-20 00:00 - 23:30 | 13-00 | Омские Ястребы - Красноярские Рыси
2026-12-22 00:00 - 23:30 | 13-00 | Омские Ястребы - МХК Молот
2026-12-26 00:00 - 23:30 | 13-00 | Омские Ястребы - Локо
2027-01-09 00:00 - 23:30 | 13-00 | Толпар - Омские Ястребы
2027-01-10 00:00 - 23:30 | 13-00 | Толпар - Омские Ястребы
2027-01-13 00:00 - 23:30 | 13-00 | Стальные Лисы - Омские Ястребы
2027-01-14 00:00 - 23:30 | 13-00 | Стальные Лисы - Омские Ястребы
2027-01-20 00:00 - 23:30 | 13-00 | АКМ-Юниор - Омские Ястребы
2027-01-26 00:00 - 23:30 | 13-00 | Омские Ястребы - Снежные Барсы
2027-01-31 00:00 - 23:30 | 13-00 | Омские Ястребы - Локо-76
2027-02-01 00:00 - 23:30 | 13-00 | Омские Ястребы - Локо-76
2027-02-07 00:00 - 23:30 | 13-00 | Ирбис - Омские Ястребы
2027-02-08 00:00 - 23:30 | 13-00 | Ирбис - Омские Ястребы
2027-02-11 00:00 - 23:30 | 13-00 | Чайка - Омские Ястребы
2027-02-12 00:00 - 23:30 | 13-00 | Чайка - Омские Ястребы
2027-02-17 00:00 - 23:30 | 13-00 | Реактор - Омские Ястребы
2027-02-19 00:00 - 23:30 | 13-00 | Спутник Ал - Омские Ястребы
2027-02-23 00:00 - 23:30 | 13-00 | Омские Ястребы - Белые Медведи
2027-02-24 00:00 - 23:30 | 13-00 | Омские Ястребы - Белые Медведи
2027-02-27 00:00 - 23:30 | 13-00 | Омские Ястребы - Авто
2027-02-28 00:00 - 23:30 | 13-00 | Омские Ястребы - Авто
2027-03-06 00:00 - 23:30 | 13-00 | Омские Ястребы - Сибирские Снайперы
2027-03-10 00:00 - 23:30 | 13-00 | МХК Спартак - Омские Ястребы
2027-03-12 00:00 - 23:30 | 13-00 | Локо - Омские Ястребы
2027-03-15 00:00 - 23:30 | 13-00 | Красная Армия - Омские Ястребы
2027-03-21 00:00 - 23:30 | 13-00 | Мамонты Югры - Омские Ястребы
